claim_id,accident_year,line_of_business,loss_amount_usd,paid_to_date_usd,status,injury_severity
CLM100000,2015,Auto BI,9241,7910,Open,Minor
CLM100001,2015,Auto BI,7654,3392,Open,Minor
CLM100002,2015,Auto BI,9619,8598,Open,Minor
CLM100003,2015,GL,11807,5541,Open,Minor
CLM100004,2015,Auto PD,7414,3177,Open,Minor
CLM100005,2015,Property,41487,22952,Open,Moderate
CLM100006,2015,Property,68688,53171,Open,Moderate
CLM100007,2015,GL,9918,5243,Open,Minor
CLM100008,2015,Auto BI,37957,28818,Open,Moderate
CLM100009,2015,GL,9356,6895,Open,Minor
CLM100010,2015,GL,38048,30397,Open,Moderate
CLM100011,2015,GL,6835,5137,Open,Minor
CLM100012,2015,Auto BI,48629,45284,Open,Moderate
CLM100013,2015,Auto BI,16300,11056,Open,Moderate
CLM100014,2015,Property,3687,3588,Closed,Minor
CLM100015,2015,Auto BI,6594,2806,Open,Minor
CLM100016,2015,Auto BI,29807,18161,Open,Moderate
CLM100017,2015,Property,246711,141628,Open,Severe
CLM100018,2015,GL,5729,5677,Closed,Minor
CLM100019,2015,Property,99954,86435,Open,Severe
CLM100020,2015,GL,11664,5401,Open,Minor
CLM100021,2015,Auto PD,7435,3658,Open,Minor
CLM100022,2015,Auto PD,8168,3310,Open,Minor
CLM100023,2015,Auto BI,23628,13731,Open,Moderate
CLM100024,2015,Property,173727,140935,Open,Severe
CLM100025,2015,Auto PD,46663,22441,Open,Moderate
CLM100026,2015,Property,5122,2481,Open,Minor
CLM100027,2015,GL,8939,5005,Open,Minor
CLM100028,2015,Auto PD,6498,5170,Open,Minor
CLM100029,2015,GL,7270,4666,Open,Minor
CLM100030,2015,Property,6495,6097,Open,Minor
CLM100031,2015,Auto PD,72784,38240,Open,Moderate
CLM100032,2015,GL,44797,27069,Open,Moderate
CLM100033,2015,GL,29134,23475,Open,Moderate
CLM100034,2015,Auto PD,10056,9489,Open,Minor
CLM100035,2015,Property,4947,4514,Open,Minor
CLM100036,2015,Auto BI,48132,43554,Open,Moderate
CLM100037,2015,Property,3100,1501,Open,Minor
CLM100038,2015,Auto BI,4679,4054,Open,Minor
CLM100039,2015,Auto PD,8492,4988,Open,Minor
CLM100040,2015,Auto BI,9846,6745,Open,Minor
CLM100041,2015,Auto BI,47570,46389,Closed,Moderate
CLM100042,2015,GL,43265,25335,Open,Moderate
CLM100043,2015,GL,7247,6157,Open,Minor
CLM100044,2015,Property,22822,12188,Open,Moderate
CLM100045,2015,GL,6200,5458,Open,Minor
CLM100046,2015,Property,180845,135749,Open,Severe
CLM100047,2015,GL,10642,8457,Open,Minor
CLM100048,2015,Property,50154,24634,Open,Moderate
CLM100049,2015,Property,18554,18224,Closed,Moderate
CLM100050,2015,Auto BI,8810,8553,Closed,Minor
CLM100051,2015,Auto PD,7037,4995,Open,Minor
CLM100052,2015,Auto BI,6307,5923,Open,Minor
CLM100053,2015,Auto BI,9529,5042,Open,Minor
CLM100054,2015,Property,10577,7412,Open,Minor
CLM100055,2015,Property,10328,9113,Open,Minor
CLM100056,2015,Property,5901,3846,Open,Minor
CLM100057,2015,Auto BI,7226,7164,Closed,Minor
CLM100058,2015,Property,8828,7826,Open,Minor
CLM100059,2015,Auto PD,10438,6850,Open,Minor
CLM100060,2015,Property,37812,18862,Open,Moderate
CLM100061,2015,Auto PD,7535,5364,Open,Minor
CLM100062,2015,Property,28404,25979,Open,Moderate
CLM100063,2015,Auto PD,5009,4301,Open,Minor
CLM100064,2015,Auto PD,10031,7407,Open,Minor
CLM100065,2015,Property,335280,324284,Closed,Severe
CLM100066,2015,Property,7819,7203,Open,Minor
CLM100067,2015,Auto BI,10508,10026,Closed,Minor
CLM100068,2015,GL,50424,31686,Open,Moderate
CLM100069,2015,Auto PD,6387,3564,Open,Minor
CLM100070,2015,Auto PD,8903,5338,Open,Minor
CLM100071,2015,Property,68070,61530,Open,Moderate
CLM100072,2015,Auto PD,216954,209974,Closed,Severe
CLM100073,2015,Auto BI,11911,8036,Open,Minor
CLM100074,2015,Auto BI,5703,2901,Open,Moderate
CLM100075,2015,Auto BI,57328,34097,Open,Moderate
CLM100076,2015,Auto BI,227399,92443,Open,Severe
CLM100077,2015,GL,40514,35609,Open,Moderate
CLM100078,2015,GL,8229,5348,Open,Minor
CLM100079,2015,Property,15186,9539,Open,Moderate
CLM100080,2015,Auto BI,7450,3583,Open,Minor
CLM100081,2015,Property,50356,40135,Open,Moderate
CLM100082,2015,Auto BI,11694,9572,Open,Minor
CLM100083,2015,GL,6704,3453,Open,Minor
CLM100084,2015,Property,151278,68113,Open,Severe
CLM100085,2015,Auto BI,37473,29444,Open,Moderate
CLM100086,2015,Property,58731,32796,Open,Moderate
CLM100087,2015,Auto BI,8821,7786,Open,Minor
CLM100088,2015,Auto PD,6675,3048,Open,Minor
CLM100089,2015,GL,9283,6100,Open,Minor
CLM100090,2015,Auto BI,8242,7483,Open,Minor
CLM100091,2015,Auto PD,59529,58405,Closed,Moderate
CLM100092,2015,Property,6244,5637,Open,Minor
CLM100093,2015,Property,7180,7072,Closed,Minor
CLM100094,2015,Auto BI,39118,24374,Open,Moderate
CLM100095,2015,Auto BI,23047,13241,Open,Moderate
CLM100096,2015,Auto PD,8740,5947,Open,Minor
CLM100097,2015,GL,8652,7708,Open,Minor
CLM100098,2015,Auto PD,220434,175880,Open,Severe
CLM100099,2015,Auto BI,7413,3240,Open,Minor
CLM100100,2015,Property,4461,2423,Open,Minor
CLM100101,2015,Auto PD,38690,35811,Open,Moderate
CLM100102,2015,GL,7143,6702,Open,Minor
CLM100103,2015,Auto BI,5994,4352,Open,Minor
CLM100104,2015,Property,42580,36986,Open,Moderate
CLM100105,2015,Auto BI,9010,4736,Open,Minor
CLM100106,2015,Auto PD,12715,6097,Open,Minor
CLM100107,2015,Auto BI,47618,22219,Open,Moderate
CLM100108,2015,Auto BI,48863,32777,Open,Moderate
CLM100109,2015,Auto PD,7813,6354,Open,Minor
CLM100110,2015,Property,16218,13585,Open,Moderate
CLM100111,2015,Auto PD,7933,4640,Open,Minor
CLM100112,2015,Auto BI,45903,21824,Open,Moderate
CLM100113,2015,Property,81948,80986,Closed,Moderate
CLM100114,2015,Auto PD,7519,4044,Open,Minor
CLM100115,2015,Property,49523,49055,Closed,Moderate
CLM100116,2015,GL,7913,4424,Open,Minor
CLM100117,2015,Auto BI,27469,21598,Open,Moderate
CLM100118,2015,Auto PD,10857,5825,Open,Minor
CLM100119,2015,Property,9879,6946,Open,Minor
CLM100120,2015,Property,9977,9702,Closed,Minor
CLM100121,2015,Auto PD,31359,21959,Open,Moderate
CLM100122,2015,Auto PD,11506,10392,Open,Minor
CLM100123,2015,GL,4495,3383,Open,Minor
CLM100124,2015,Auto BI,53802,40879,Open,Moderate
CLM100125,2015,Property,13476,11099,Open,Minor
CLM100126,2015,Auto BI,5523,4716,Open,Minor
CLM100127,2015,Auto BI,36505,35011,Closed,Moderate
CLM100128,2015,GL,8249,6790,Open,Minor
CLM100129,2015,GL,6741,4707,Open,Minor
CLM100130,2015,Auto BI,4123,2903,Open,Minor
CLM100131,2015,GL,225827,192826,Open,Severe
CLM100132,2015,Auto PD,129704,116438,Open,Severe
CLM100133,2015,Auto BI,9183,6261,Open,Minor
CLM100134,2015,GL,31208,12916,Open,Moderate
CLM100135,2015,Property,68249,28558,Open,Moderate
CLM100136,2015,Property,6041,5553,Open,Minor
CLM100137,2015,GL,7194,3868,Open,Minor
CLM100138,2015,Auto BI,289148,261388,Open,Severe
CLM100139,2015,Property,26537,21201,Open,Moderate
CLM100140,2015,Property,8568,5570,Open,Minor
CLM100141,2015,GL,64607,56943,Open,Moderate
CLM100142,2015,Auto BI,20887,11051,Open,Moderate
CLM100143,2015,GL,235693,144181,Open,Severe
CLM100144,2015,Property,48898,36418,Open,Moderate
CLM100145,2015,Auto BI,56727,44856,Open,Moderate
CLM100146,2015,Property,26445,12960,Open,Moderate
CLM100147,2015,Property,4698,2424,Open,Minor
CLM100148,2015,GL,9304,4073,Open,Minor
CLM100149,2015,Auto PD,49454,49187,Closed,Moderate
CLM100150,2015,Auto PD,8626,7230,Open,Minor
CLM100151,2015,Auto BI,50196,29017,Open,Moderate
CLM100152,2015,Auto BI,34799,18222,Open,Moderate
CLM100153,2015,Auto PD,48483,35899,Open,Moderate
CLM100154,2015,Auto BI,8732,3997,Open,Minor
CLM100155,2015,GL,34284,34184,Closed,Moderate
CLM100156,2015,GL,12664,8494,Open,Minor
CLM100157,2015,Auto BI,9184,8618,Open,Minor
CLM100158,2015,Auto BI,5021,4095,Open,Minor
CLM100159,2015,Auto BI,9641,7490,Open,Minor
CLM100160,2015,Property,137152,69801,Open,Severe
CLM100161,2015,Property,9967,5402,Open,Minor
CLM100162,2015,Property,10896,6404,Open,Minor
CLM100163,2015,GL,5948,5684,Closed,Minor
CLM100164,2015,GL,301886,140619,Open,Severe
CLM100165,2015,Auto PD,255086,115463,Open,Severe
CLM100166,2015,Auto PD,10055,7825,Open,Minor
CLM100167,2015,Property,12741,10130,Open,Minor
CLM100168,2015,Property,7386,5265,Open,Minor
CLM100169,2015,GL,155932,65692,Open,Severe
CLM100170,2015,Property,5776,2515,Open,Minor
CLM100171,2015,GL,32762,19095,Open,Moderate
CLM100172,2015,Auto PD,7807,4509,Open,Minor
CLM100173,2015,Auto PD,8852,5098,Open,Minor
CLM100174,2015,Auto BI,49150,29389,Open,Moderate
CLM100175,2015,Property,57407,24299,Open,Moderate
CLM100176,2015,Property,8032,4023,Open,Minor
CLM100177,2015,Auto PD,66803,46919,Open,Moderate
CLM100178,2015,GL,41030,17041,Open,Moderate
CLM100179,2015,Property,14800,14104,Closed,Minor
CLM100180,2015,Property,9564,4294,Open,Minor
CLM100181,2015,Auto BI,5857,2383,Open,Minor
CLM100182,2015,Auto BI,5322,3402,Open,Minor
CLM100183,2015,Property,52237,27501,Open,Moderate
CLM100184,2015,GL,7441,4328,Open,Minor
CLM100185,2015,Auto PD,9785,7972,Open,Minor
CLM100186,2015,Auto PD,9183,3751,Open,Minor
CLM100187,2015,Auto PD,43907,27014,Open,Moderate
CLM100188,2015,Auto PD,32298,27595,Open,Moderate
CLM100189,2015,Auto BI,22277,13927,Open,Moderate
CLM100190,2015,GL,6883,5638,Open,Minor
CLM100191,2015,Auto BI,10140,4804,Open,Minor
CLM100192,2015,GL,8535,8003,Open,Minor
CLM100193,2015,GL,4885,4038,Open,Minor
CLM100194,2015,Auto BI,47597,21408,Open,Moderate
CLM100195,2015,GL,8963,4415,Open,Minor
CLM100196,2015,Auto BI,31742,23109,Open,Moderate
CLM100197,2015,GL,8384,6926,Open,Minor
CLM100198,2015,Auto PD,45873,40190,Open,Moderate
CLM100199,2015,GL,5142,2443,Open,Minor
CLM100200,2015,Auto PD,8894,5237,Open,Minor
CLM100201,2015,Auto PD,9401,8571,Open,Minor
CLM100202,2015,Property,10707,10345,Closed,Minor
CLM100203,2015,Property,309573,172790,Open,Severe
CLM100204,2015,Auto PD,4555,3305,Open,Minor
CLM100205,2015,Auto BI,5655,3651,Open,Minor
CLM100206,2015,Auto PD,9287,3871,Open,Minor
CLM100207,2015,Auto BI,52706,30354,Open,Moderate
CLM100208,2015,Property,52725,37949,Open,Moderate
CLM100209,2015,Auto PD,17631,9874,Open,Minor
CLM100210,2015,Auto PD,9427,8876,Open,Minor
CLM100211,2015,Auto BI,62033,39701,Open,Moderate
CLM100212,2015,Auto PD,59310,25942,Open,Moderate
CLM100213,2015,Property,54770,37909,Open,Moderate
CLM100214,2015,Auto BI,40270,39017,Closed,Moderate
CLM100215,2015,Property,56384,42274,Open,Moderate
CLM100216,2015,GL,33407,20525,Open,Moderate
CLM100217,2015,Auto BI,7407,7343,Closed,Minor
CLM100218,2015,GL,178744,119824,Open,Severe
CLM100219,2015,GL,8204,7499,Open,Minor
CLM100220,2015,Auto PD,13786,9336,Open,Minor
CLM100221,2015,Auto BI,16991,14716,Open,Moderate
CLM100222,2015,Auto PD,55293,36433,Open,Moderate
CLM100223,2015,Auto PD,20809,15568,Open,Moderate
CLM100224,2015,GL,6820,6461,Open,Minor
CLM100225,2015,Property,312560,278357,Open,Severe
CLM100226,2015,GL,8160,6596,Open,Minor
CLM100227,2015,Property,28833,17459,Open,Moderate
CLM100228,2015,Auto PD,34270,15632,Open,Moderate
CLM100229,2015,Auto BI,55193,38234,Open,Moderate
CLM100230,2015,Auto BI,157918,63364,Open,Severe
CLM100231,2015,GL,8541,5935,Open,Minor
CLM100232,2015,Auto BI,45683,32932,Open,Moderate
CLM100233,2015,Property,35225,26560,Open,Moderate
CLM100234,2015,Auto BI,13359,5977,Open,Minor
CLM100235,2015,Auto BI,9584,9424,Closed,Minor
CLM100236,2015,GL,14622,10574,Open,Moderate
CLM100237,2015,Property,8466,3638,Open,Minor
CLM100238,2015,Auto PD,6345,3569,Open,Minor
CLM100239,2015,Auto BI,57786,51652,Open,Moderate
CLM100240,2015,Auto PD,6018,4659,Open,Minor
CLM100241,2015,Auto BI,43278,38728,Open,Moderate
CLM100242,2015,Auto BI,52574,28507,Open,Moderate
CLM100243,2015,Auto BI,57986,28604,Open,Moderate
CLM100244,2015,Auto BI,26995,13745,Open,Moderate
CLM100245,2015,Property,39982,19327,Open,Moderate
CLM100246,2015,GL,6812,5802,Open,Minor
CLM100247,2015,Property,35200,33689,Closed,Moderate
CLM100248,2015,GL,71481,34465,Open,Moderate
CLM100249,2015,Auto PD,9012,4708,Open,Minor
CLM100250,2015,Property,112824,88746,Open,Severe
CLM100251,2015,Auto BI,10294,7682,Open,Minor
CLM100252,2015,Auto PD,76832,40290,Open,Moderate
CLM100253,2015,Auto PD,60486,38869,Open,Moderate
CLM100254,2015,Property,4201,1915,Open,Minor
CLM100255,2015,Auto BI,37736,19547,Open,Moderate
CLM100256,2015,GL,11167,7356,Open,Minor
CLM100257,2015,Auto PD,34384,13861,Open,Moderate
CLM100258,2015,Property,9109,4272,Open,Minor
CLM100259,2015,Auto BI,9936,7302,Open,Minor
CLM100260,2015,Property,5682,5098,Open,Minor
CLM100261,2015,Auto PD,7851,3469,Open,Minor
CLM100262,2015,Auto BI,1000,478,Open,Minor
CLM100263,2015,Property,5439,4433,Open,Minor
CLM100264,2015,Property,7368,6727,Open,Minor
CLM100265,2015,Auto BI,4880,4738,Closed,Minor
CLM100266,2015,Auto PD,12081,11610,Closed,Minor
CLM100267,2015,Property,23547,15811,Open,Moderate
CLM100268,2015,Auto PD,6899,4766,Open,Minor
CLM100269,2015,Auto BI,8326,7761,Open,Minor
CLM100270,2015,Property,11603,10619,Open,Minor
CLM100271,2015,Auto PD,4410,2750,Open,Minor
CLM100272,2015,Property,62447,58174,Open,Moderate
CLM100273,2015,Property,45153,31476,Open,Moderate
CLM100274,2015,Property,5546,5048,Open,Minor
CLM100275,2015,Auto BI,51931,22528,Open,Moderate
CLM100276,2015,Property,47985,41131,Open,Moderate
CLM100277,2015,Auto PD,6499,4372,Open,Minor
CLM100278,2015,Auto PD,46047,29922,Open,Moderate
CLM100279,2015,Auto PD,7036,3385,Open,Minor
CLM100280,2015,Auto PD,46702,24338,Open,Moderate
CLM100281,2015,Property,54931,35314,Open,Moderate
CLM100282,2015,Auto BI,68790,59444,Open,Moderate
CLM100283,2015,GL,26432,14767,Open,Moderate
CLM100284,2015,Property,76995,40835,Open,Moderate
CLM100285,2015,Auto PD,3119,2244,Open,Minor
CLM100286,2015,Auto BI,42723,17342,Open,Moderate
CLM100287,2015,Auto BI,9470,9200,Closed,Minor
CLM100288,2015,Property,8702,6286,Open,Minor
CLM100289,2015,Auto PD,35659,15924,Open,Moderate
CLM100290,2015,Property,7479,4970,Open,Minor
CLM100291,2015,Property,6767,3682,Open,Minor
CLM100292,2015,Auto BI,6526,3889,Open,Minor
CLM100293,2015,Auto PD,57744,51783,Open,Moderate
CLM100294,2015,Auto BI,8892,7692,Open,Minor
CLM100295,2015,Auto PD,6267,2651,Open,Minor
CLM100296,2015,Auto PD,58493,28067,Open,Moderate
CLM100297,2015,Property,8768,3949,Open,Minor
CLM100298,2015,GL,10032,7557,Open,Minor
CLM100299,2015,Auto BI,9574,6582,Open,Minor
CLM100300,2015,Property,32565,19549,Open,Moderate
CLM100301,2015,Auto BI,6599,3221,Open,Minor
CLM100302,2015,Auto BI,56209,28150,Open,Moderate
CLM100303,2015,Property,54155,31823,Open,Moderate
CLM100304,2015,Auto PD,44686,41417,Open,Moderate
CLM100305,2015,Auto BI,229972,204197,Open,Severe
CLM100306,2015,Auto PD,11194,10569,Open,Minor
CLM100307,2015,Auto BI,6521,3628,Open,Minor
CLM100308,2015,Property,9367,6211,Open,Minor
CLM100309,2015,Auto BI,41967,40227,Closed,Moderate
CLM100310,2015,Auto BI,41734,31273,Open,Moderate
CLM100311,2015,GL,10746,7677,Open,Minor
CLM100312,2015,Property,10063,5949,Open,Minor
CLM100313,2015,Property,289148,251316,Open,Severe
CLM100314,2015,Auto BI,11263,7277,Open,Minor
CLM100315,2015,Auto PD,45315,32030,Open,Moderate
CLM100316,2015,Auto PD,9704,6572,Open,Minor
CLM100317,2015,Auto PD,7224,6140,Open,Minor
CLM100318,2015,Auto BI,49862,23948,Open,Moderate
CLM100319,2015,GL,43047,19342,Open,Moderate
CLM100320,2015,GL,8242,8136,Closed,Minor
CLM100321,2015,Auto BI,9487,6982,Open,Minor
CLM100322,2015,Auto BI,5954,3263,Open,Minor
CLM100323,2015,Property,13230,11463,Open,Minor
CLM100324,2015,GL,5484,5141,Open,Minor
CLM100325,2015,Auto BI,4964,3927,Open,Minor
CLM100326,2015,GL,62371,61171,Closed,Moderate
CLM100327,2015,Auto BI,9979,8656,Open,Minor
CLM100328,2015,GL,9560,3858,Open,Minor
CLM100329,2015,Auto BI,9570,4429,Open,Minor
CLM100330,2015,Auto BI,7969,7100,Open,Minor
CLM100331,2015,GL,31541,27678,Open,Moderate
CLM100332,2015,Auto BI,8189,7362,Open,Minor
CLM100333,2015,Auto PD,34842,32692,Open,Moderate
CLM100334,2015,Auto BI,10437,6675,Open,Minor
CLM100335,2015,GL,7632,4000,Open,Minor
CLM100336,2015,Property,5936,5022,Open,Minor
CLM100337,2015,GL,192682,136671,Open,Severe
CLM100338,2015,Auto BI,255099,228639,Open,Severe
CLM100339,2015,GL,36544,28476,Open,Moderate
CLM100340,2015,Property,5944,3320,Open,Minor
CLM100341,2015,GL,240713,185310,Open,Severe
CLM100342,2015,Property,8612,8056,Open,Minor
CLM100343,2015,Auto BI,6732,2715,Open,Minor
CLM100344,2015,Property,6822,3088,Open,Minor
CLM100345,2015,Auto PD,48480,21327,Open,Moderate
CLM100346,2015,GL,4379,2538,Open,Minor
CLM100347,2015,GL,4481,2127,Open,Minor
CLM100348,2015,Property,158932,119134,Open,Severe
CLM100349,2015,Auto PD,7466,3591,Open,Minor
CLM100350,2015,Auto PD,8777,7209,Open,Minor
CLM100351,2015,Property,67130,53220,Open,Moderate
CLM100352,2015,Auto PD,57864,27926,Open,Moderate
CLM100353,2015,Auto BI,7600,4715,Open,Minor
CLM100354,2015,Property,44714,26319,Open,Moderate
CLM100355,2015,GL,29962,14329,Open,Moderate
CLM100356,2015,GL,7953,5799,Open,Minor
CLM100357,2015,GL,7278,2958,Open,Minor
CLM100358,2015,Property,8806,7720,Open,Minor
CLM100359,2015,GL,5931,4332,Open,Minor
CLM100360,2015,Auto PD,9298,4886,Open,Minor
CLM100361,2015,Auto BI,11831,11085,Open,Minor
CLM100362,2015,Property,7728,3676,Open,Minor
CLM100363,2015,Property,51025,44947,Open,Moderate
CLM100364,2015,GL,9725,5096,Open,Minor
CLM100365,2015,GL,6996,2939,Open,Minor
CLM100366,2015,Auto BI,8560,3988,Open,Minor
CLM100367,2015,Property,8031,4649,Open,Minor
CLM100368,2015,Property,46465,33004,Open,Moderate
CLM100369,2015,Auto PD,6067,4219,Open,Minor
CLM100370,2015,Property,8061,6521,Open,Minor
CLM100371,2015,Property,262329,145621,Open,Severe
CLM100372,2015,Property,11627,5077,Open,Minor
CLM100373,2015,Auto BI,10398,9230,Open,Minor
CLM100374,2015,Property,77297,69850,Open,Moderate
CLM100375,2015,Property,33489,19546,Open,Moderate
CLM100376,2015,Property,294147,160415,Open,Severe
CLM100377,2015,Auto PD,47750,45140,Open,Moderate
CLM100378,2015,Auto BI,13474,10507,Open,Minor
CLM100379,2015,Auto BI,5979,3652,Open,Minor
CLM100380,2015,GL,32404,28070,Open,Moderate
CLM100381,2015,Auto BI,6501,3269,Open,Minor
CLM100382,2015,Property,2690,2478,Open,Minor
CLM100383,2015,Auto BI,37113,28979,Open,Moderate
CLM100384,2015,Auto PD,6102,6083,Closed,Minor
CLM100385,2015,Auto PD,8375,5197,Open,Minor
CLM100386,2015,GL,249049,246071,Closed,Severe
CLM100387,2015,GL,12690,6364,Open,Minor
CLM100388,2015,Auto BI,10376,5570,Open,Minor
CLM100389,2015,Auto BI,36346,28820,Open,Moderate
CLM100390,2015,Auto BI,5753,2447,Open,Minor
CLM100391,2015,Auto PD,52378,43201,Open,Moderate
CLM100392,2015,Auto PD,4699,1946,Open,Minor
CLM100393,2015,GL,72471,51486,Open,Moderate
CLM100394,2015,Property,10948,7634,Open,Minor
CLM100395,2015,Auto BI,6827,4368,Open,Minor
CLM100396,2015,GL,3717,2353,Open,Minor
CLM100397,2015,Auto BI,11384,4880,Open,Minor
CLM100398,2015,Auto BI,7713,3920,Open,Minor
CLM100399,2015,Property,63567,32479,Open,Moderate
CLM100400,2015,GL,21083,19471,Open,Moderate
CLM100401,2015,Property,36009,27986,Open,Moderate
CLM100402,2015,Property,8013,4543,Open,Minor
CLM100403,2015,Auto PD,8117,5793,Open,Minor
CLM100404,2015,Auto BI,38249,26764,Open,Moderate
CLM100405,2015,GL,9557,9496,Closed,Minor
CLM100406,2015,Auto BI,5330,2338,Open,Minor
CLM100407,2015,GL,7644,6835,Open,Minor
CLM100408,2015,Auto PD,8300,5693,Open,Minor
CLM100409,2015,Property,52716,33312,Open,Moderate
CLM100410,2015,Auto BI,55674,55092,Closed,Moderate
CLM100411,2015,Property,5188,4158,Open,Minor
CLM100412,2015,Auto PD,4164,3629,Open,Minor
CLM100413,2015,Auto BI,11194,4952,Open,Minor
CLM100414,2015,Auto PD,8830,5936,Open,Minor
CLM100415,2015,Property,156378,130378,Open,Severe
